PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
213309331,19207563,0,2019-10-11T17:50:00,"200 Block Dinwiddie St Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9994 PFA Service,305,6,3,-79.9807130501689,40.4390819552508
-3319002282,19208151,6,2019-10-11T04:00:00,"6300 Block Marchand St Pittsburgh, PA 15206",N,Shadyside,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,708,8,2,-79.9223592668161,40.4572038314664
213337310,19208252,5,2019-10-12T00:45:00,"400 Block Morewood Ave Pittsburgh, PA 15213",N,Shadyside,4,BURGLARY,3502 Burglary.,709,8,2,-79.9440876798619,40.4529080769474
213698855,19212594,11,2019-10-06T18:13:00,"5300 Block Gertrude St Pittsburgh, PA 15207",N,Hazelwood,4,CREDIT CARDS,4106 Access Device Fraud,1515,5,3,-79.9417184786566,40.4046211621896
213705035,19212621,0,2019-10-16T13:00:00,"5700 Block Northumberland St Pittsburgh, PA 15217",N,Squirrel Hill North,4,99,9999 9999 - (Misc. Incident): Suspicious Activity,1403,8,3,-79.925276920877,40.4409626023208
213709438,19212655,6,2019-10-18T11:35:00,"4300 Block Murray Ave Pittsburgh, PA 15217",N,Greenfield,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1517,5,3,-79.9290614620162,40.4217786333251
213718457,19212676,6,2019-10-18T12:00:00,"600 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 903 Criminal Conspiracy.,201,6,6,-79.9974088316752,40.4415332222525
213872155,19215076,18,2019-10-21T19:36:00,"East St & East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 5507 Obstructing Highways and Passages. / 9015 Failure To Appear/Arrest on Attachment Order,2304,1,1,-79.9978630758095,40.4539898712231
213911667,19213614,27,2019-10-19T18:35:00,"900 Block Freeport Rd Pittsburgh, PA 15238",Y,Lincoln-Lemington-Belmar,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1201,9,2,-79.8923529450752,40.4861185015656
213936217,19210449,6,2019-10-15T13:25:00,"5500 Block Centre Ave Pittsburgh, PA 15232",Y,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 2701 Simple Assault. / 903 Criminal Conspiracy.,709,7,2,-79.9364623699551,40.4565877817342
214234182,19219352,0,2019-10-27T00:34:00,"6600 Block Kinsman Rd Pittsburgh, PA 15217",N,Squirrel Hill North,4,99,3503(b.1) Criminal Trespass - Simple Trespasser,1403,8,3,-79.9153065319514,40.444721064896
214238039,19219361,10,2019-10-27T17:02:00,"2200 Block Valera Ave Pittsburgh, PA 15210",Y,Carrick,3,SIMPLE ASSAULT,2701 Simple Assault. / 5505 Public Drunkenness / 5503 Disorderly Conduct.,2904,4,3,-79.9883450761441,40.3901779222416
214238539,19219491,0,2019-10-27T19:49:00,"1200 Block Nolan Ct Pittsburgh, PA 15221",N,Homewood North,5,99,9999 9999 - (Misc. Incident): ,1301,9,2,-79.8868738733753,40.4594394730591
212901911,19203923,22,2019-10-06T23:34:00,"5th Ave & Magee St Pittsburgh, PA 15219",N,Bluff,2,PUR/CON/POS/TRAN-INTOX BEVERAG,6308 Investigation by Police Officers / 3743 Accidents Involving Damage to Attended Veh. or Property / 7124 Fraudulent Use or Removal of Registration Plates / 1786 Required Financial Responsibility. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1311 Registration Card to be Signed and Exhibited on Demand.,103,6,3,-79.9882696601179,40.438693569526
212902076,19203948,21,2019-10-07T00:54:00,"Ellsworth Ave & St James Pl Pittsburgh, PA 15232",Y,Shadyside,4,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3746 Immediate Notice of Accident to Police Department / 3714 Careless Driving / 3802(a)(1) DUI - General Impairment,703,8,2,-79.938013696847,40.4523075150457
214103593,19217258,99,2019-10-23T21:30:00,"90 Block S 11th St Pittsburgh, PA 15203",N,South Side Flats,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1702,3,3,-79.9876658423182,40.4278517603705
214107271,19217408,14,2019-10-25T02:22:00,"200 Block Alries St Pittsburgh, PA 15210",N,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief.,2902,4,3,-79.9856229912804,40.3995759692895
214109493,19217478,99,2019-10-25T06:09:00,"3100 Block Smallman St Pittsburgh, PA 15201",N,Strip District,2,MENTAL 201/302,9498 302 (Mental),203,7,6,-79.972138677509,40.4605261826763
214123163,19215433,26,2019-10-22T11:00:00,"300 Block Lafayette Ave Pittsburgh, PA 15214",Y,Perry South,1,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,2614,6,1,-80.0078523873922,40.4653067400433
214129488,19217599,27,2019-10-25T09:45:00,"40th St Brg & Foster St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,901,7,2,-79.9637031075809,40.4698304295744
-3301022074,19217953,10,2019-10-25T20:03:00,"6200 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,1115,,,0,0
214166202,19218231,10,2019-10-26T02:41:00,"Brownsville Rd & Minooka St Pittsburgh, PA 15210",Y,Carrick,3,SIMPLE ASSAULT,2701 Simple Assault.,2901,4,3,-79.9904622579586,40.404619903547
214166530,19218176,3,2019-10-26T00:44:00,"500 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,ROBBERY,3701 Robbery. / 2702 Aggravated Assault.,1918,4,5,-80.0236345649749,40.3962210607594
214189473,19218384,27,2019-10-26T09:58:00,"S Braddock Ave & Forbes Ave Pittsburgh, PA 15221",N,Point Breeze,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3714 Careless Driving / 3322 Vehicle Turning Left.,1406,9,3,-79.8976451472871,40.439669249036
213245609,19206847,27,2019-10-10T07:20:00,"5400 Block Stanton Ave Pittsburgh, PA 15206",N,Morningside,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1014,7,2,-79.9304286614509,40.4728744308513
-3351000942,19207776,99,2019-10-11T21:58:00,"1500 Block Buena Vista St Pittsburgh, PA 15212",Y,Central North Side,1,AIDED CASE,9497 Aided Case,2503,6,1,-80.014546834811,40.4570168292076
213323662,19207908,15,2019-10-12T01:49:00,"N Lang Ave & Idlewild St Pittsburgh, PA 15208",Y,Homewood North,5,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,1301,9,2,-79.8982274916388,40.4586902914696
213324722,19207893,10,2019-10-12T01:29:00,"W Warrington Ave & Boggs Ave Pittsburgh, PA 15226",Y,Mount Washington,3,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 3802(a)(1) DUI - General Impairment,1915,4,5,-80.0110955279751,40.4156174490716
213346848,19208508,10,2019-10-12T21:30:00,"60 Block Almeda St Pittsburgh, PA 15207",N,Hazelwood,4,SIMPLE ASSAULT,2701 Simple Assault.,1515,5,3,-79.9393281476862,40.4033166352265
213351611,19208657,17,2019-10-13T02:30:00,"Pioneer Ave & Berkshire Ave Pittsburgh, PA 15226",Y,Brookline,6,INCEST,4302 Periods for Requiring Lighted Lamps. / 3802(a)(2) DUI - BAC >.08% <.10% / 1301 Registration and Certificate of Title Required. / 3802(a)(1) DUI - General Impairment,1918,4,5,-80.0240964925625,40.3955078368066
214069145,19216812,0,2019-10-24T08:55:00,"500 Block Lenora St Pittsburgh, PA 15206",Y,Larimer,5,99,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1204,9,2,-79.9154242492905,40.4661533406728
214474858,19221664,0,2019-10-30T16:00:00,"400 Block Saline St Pittsburgh, PA 15207",N,Greenfield,4,99,9999 9999 - (Misc. Incident): ,1516,5,3,-79.9264992046763,40.4229741408752
214476807,19221683,27,2019-10-30T15:00:00,"7100 Block Upland St Pittsburgh, PA 15208",N,Homewood North,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1301,9,2,-79.8973869919297,40.4626173366275
-3396000008,19221654,99,2019-10-30T16:04:00,"700 Block Sherwood Ave Pittsburgh, PA 15204",N,Sheraden,6,FALSE BURGLAR ALARM,9488 False  Burglar Alarm,2018,,,0,0
214478033,19221649,10,2019-10-30T15:35:00,"700 Block Bingham St Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT,2709(a) Harassment.,1702,3,3,-79.9919393336728,40.4291640953168
214480513,19221711,99,2019-10-30T15:55:00,"2500 Block Wadsworth St Pittsburgh, PA 15213",N,Terrace Village,2,MENTAL 201/302,9498 302 (Mental),510,,,0,0
-3262001161,19221694,0,2019-10-30T17:00:00,"700 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): Property Exchange,1919,4,5,-80.0216956268774,40.3945911346561
214483618,19221725,27,2019-10-30T17:10:00,"Veterans Brg Ramp & Crosstown Blvd Pittsburgh, PA 15222",N,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,,,0,0
214487235,19221820,6,2019-10-29T16:30:00,"3300 Block Ward St Pittsburgh, PA 15213",N,South Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,409,3,3,-79.9549043321306,40.4331760065168
214487676,19221779,10,2019-10-30T00:10:00,"200 Block S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT,2709 Harassment (Non-Specific),1702,6,6,-79.9983462929082,40.4437221622586
214488162,19221840,0,2019-10-30T15:00:00,"300 Block S Linden Ave Pittsburgh, PA 15206",N,Point Breeze,4,99,9999 9999 - (Misc. Incident): ,1404,8,3,-79.9121726865234,40.4511159849531
214490658,19221109,14,2019-10-29T22:07:00,"Federal St S & South Commons Pittsburgh, PA 15212",N,Allegheny Center,1,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar) / 9130 Graffiti Investigation / 620.03 (a) Graffiti - Prohibited Acts: No person may apply graffiti on city owned property or w/o permission of non-city own property",2204,1,1,-80.0053901438711,40.4502290939698
212988731,19204808,5,2019-10-08T06:30:00,"5400 Block Fair Oaks St Pittsburgh, PA 15217",N,Squirrel Hill North,4,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition.,1401,8,3,-79.9335019796865,40.4442554807388
213358369,19208808,14,2019-10-13T09:27:00,"1400 Block Davis Ave Pittsburgh, PA 15212",N,Brighton Heights,1,CRIM MISCHIEF,3304 Criminal Mischief.,2703,1,1,-80.0362807739919,40.4814271525469
213359080,19208810,10,2019-10-13T09:00:00,"900 Block Roselle  Ct Pittsburgh, PA 15207",Y,Glen Hazel,4,SIMPLE ASSAULT,2706 Terroristic Threats. / 2701 Simple Assault.,1504,,,0,0
213364998,19209039,10,2019-10-13T04:30:00,"200 Block 5th Ave Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,6,6,-80.0020771081555,40.4412363988277
214135245,19217657,27,2019-10-24T21:00:00,"200 Block Dinwiddie St Pittsburgh, PA 15219",N,Crawford-Roberts,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,305,6,3,-79.9807130501689,40.4390819552508
214139467,19217684,6,2019-10-23T15:00:00,"6800 Block Mc Pherson Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1405,9,2,-79.9083351385371,40.4546578651435
214142538,19217696,27,2019-10-23T12:30:00,"1100 Block James St Pittsburgh, PA 15212",N,East Allegheny,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2304,1,1,-80.0015703223274,40.456450061991
214145989,19217725,27,2019-10-24T13:30:00,"Butler St & 34 th St Pittsburgh, AL 15201",N,Lower Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,603,7,2,-79.9671976268286,40.4626654006123
214147970,19217753,0,2019-10-24T18:30:00,"Frankstown Ave & Wheeler St Pittsburgh, PA 15221",N,Homewood North,5,99,1786 Required Financial Responsibility.,1301,9,2,-79.8847350093177,40.4553487592882
214155277,19217718,10,2019-10-25T13:00:00,"200 Block Ross St Pittsburgh, PA 15219",N,Central Business District,2,HARRASSMENT,2709(a) Harassment.,201,6,6,-79.9967755020354,40.4367440917093
214155640,19217697,11,2019-10-24T07:30:00,"2000 Block Walton Ave Pittsburgh, PA 15210",N,Overbrook,3,IDENTITY THEFT,4120 Identity Theft,3204,4,5,-79.9944846494585,40.3931971622161
214561272,19222449,27,2019-10-30T20:30:00,"44th St & Hugo Way Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,902,7,2,-79.9565589284161,40.4691384461893
214561630,19222354,99,2019-10-31T17:02:00,"700 Block Hazelwood Ave Pittsburgh, PA 15217",N,Greenfield,4,AIDED CASE,9497 Aided Case,1517,5,3,-79.9330729845972,40.4197989425339
214561880,19222384,6,2019-10-31T16:35:00,"400 Block Ormsby Ave Pittsburgh, PA 15210",Y,Mount Oliver,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property. / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure,1607,3,3,-79.9816232395138,40.412632050652
214561970,19222434,14,2019-10-31T17:35:00,"600 Block Brushton Ave Pittsburgh, PA 15221",Y,Homewood South,5,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1304,9,2,-79.889172972718,40.4527571931509
213006592,19204187,10,2019-10-06T07:45:00,"4400 Block Armorhill Ave Pittsburgh, PA 15207",N,New Homestead,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",3103,5,3,-79.9196493775859,40.39740550101
213233563,19206711,4,2019-10-10T15:45:00,"300 Block Kearsarge St Pittsburgh, PA 15211",N,Mount Washington,3,AGG-ASSAULT,2702 Aggravated Assault.,1914,2,5,-80.0107205063351,40.4308736633037
213337855,19208265,6,2019-10-10T08:00:00,"S 21st St & Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle,1609,3,3,-79.9760575674668,40.4303101757056
213338519,19207456,14,2019-10-11T15:09:00,"Knox Ave & Lillian St Pittsburgh, PA 15210",Y,Allentown,3,CRIM MISCHIEF,3304 Criminal Mischief.,1803,3,5,-79.9907301099152,40.4188013652813
213340201,19208342,23,2019-10-12T17:34:00,"Market St Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct. / 3213 Prohibited Acts.,201,6,6,-80.0044622357327,40.4379182353827
213346871,19206945,10,2019-10-10T20:36:00,"2600 Block Brownsville Rd Pittsburgh, PA 15227",Y,Mount Washington,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1903,4,3,-79.9788043658311,40.3854502648648
213350250,19208602,99,2019-10-13T00:55:00,"200 Block S Highland Ave Pittsburgh, PA 15232",N,Shadyside,4,ACCIDENTAL FIRE,9018 Accidental Fire,705,8,2,-79.9252961319403,40.4587558589122
213357429,19208765,99,2019-10-13T07:52:00,"1500 Block Wareman Ave Pittsburgh, PA 15226",N,Brookline,6,AIDED CASE,9497 Aided Case,1918,4,5,-80.0113079950916,40.3892688490796
213390392,19209446,5,2019-10-14T07:20:00,"5700 Block Northumberland St Pittsburgh, PA 15217",N,Squirrel Hill North,4,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1403,8,3,-79.925276920877,40.4409626023208
213392714,19209453,6,2019-10-14T07:53:00,"5700 Block Northumberland St Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT FROM AUTO,3934 Theft from Vehicle,1403,8,3,-79.925276920877,40.4409626023208
-3025030844,19209468,27,2019-10-14T07:30:00,"2300 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1408,5,3,-79.9141605808913,40.4334619335444
213944039,19215711,0,2019-10-22T17:30:00,"100 Block 19th St Pittsburgh, PA 15222",N,Strip District,2,99,901 Criminal Attempt,203,3,3,-79.9794544619025,40.4281368118648
213950267,19214875,5,2019-10-21T15:20:00,"300 Block Parkfield St Pittsburgh, PA 15210",N,Carrick,3,BURGLARY,3502 Burglary.,2901,4,3,-79.9922517315356,40.3946547656372
213951361,19215016,5,2019-10-21T18:17:00,"90 Block S 27th St Pittsburgh, PA 15203",N,South Side Slopes,3,BURGLARY,3502 Burglary.,1608,3,3,-79.9686753260181,40.4239948772851
213980407,19216173,27,2019-10-23T10:14:00,"Shady Ave & Forbes Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1403,5,3,-79.9193628683113,40.4380485614191
214240877,19219503,18,2019-10-27T20:20:00,"Irvine St & Greenfield Ave Pittsburgh, PA 15207",Y,Hazelwood,4,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9501 Bench Warrant / 1311 Registration Card to be Signed and Exhibited on Demand. / 1786 Required Financial Responsibility. / 3362 Maximum Speed Limits. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 907 Possessing Instruments of Crime. / 1501 Drivers Required to be Licensed.,1501,5,3,-79.9520392698491,40.4249244980469
214244250,19219567,14,2019-10-27T22:32:00,"400 Block Iberia St Pittsburgh, PA 15211",N,Mount Washington,3,CRIM MISCHIEF,3304 Criminal Mischief.,1807,,,0,0
214250617,19207812,10,2019-10-11T23:35:00,"E Carson St & S 19th St Pittsburgh, PA 15203",Y,South Side Flats,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1702,3,3,-79.9791385433732,40.4286780792365
214250916,19219643,26,2019-10-28T01:35:00,"Waldeck St Pittsburgh, PA 15207",N,Hazelwood,4,CRIMINAL TRESPASS,3503 Criminal Trespass,1501,5,3,-79.9510208192292,40.4249446887468
214265252,19209568,6,2019-10-14T11:02:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Spring Garden,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2412,6,6,-79.9931846836602,40.4350718181921
212959822,19204354,99,2019-10-07T15:27:00,"7000 Block Bennett St Pittsburgh, PA 15208",N,Homewood South,5,MENTAL 201/302,9498 302 (Mental),1303,9,2,-79.901450962527,40.4575467628153
212960822,19204356,4,2019-10-07T15:00:00,"Larimer  Ave Pittsburgh, PA 15206",N,Larimer,5,AGG-ASSAULT,2702 Aggravated Assault.,1204,9,2,-79.9135232301114,40.4667776439021
-2983020328,19203234,4,2019-10-06T12:40:00,"1500 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,AGG-ASSAULT,2702 Aggravated Assault.,1702,3,3,-79.9833100173741,40.4286928036566
212970257,19204514,10,2019-10-07T19:37:00,"3400 Block Clearfield St Pittsburgh, PA 15204",Y,Windgap,6,SIMPLE ASSAULT,2701 Simple Assault.,2807,2,5,-80.0712986036992,40.4518062776022
212973676,19204579,5,2019-10-07T20:56:00,"2100 Block Rhine St Pittsburgh, PA 15212",N,Spring Hill-City View,1,BURGLARY,3502 Burglary.,2620,1,1,-79.9936801964597,40.4666247323612
212974637,19203378,14,2019-10-06T06:00:00,"300 Block Redwood St Pittsburgh, PA 15210",N,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief.,2901,,,0,0
212978806,19204672,6,2019-10-08T00:38:00,"300 Block Ingomar St Pittsburgh, PA 15216",Y,Beechview,6,THEFT FROM AUTO,3934 Theft from Vehicle / 9501 Bench Warrant,1920,,,0,0
212989309,19204842,99,2019-10-06T19:00:00,"400 Block 5th Ave Pittsburgh, PA 15219",N,Central Business District,2,LOST PROPERTY,9504 Lost Property,201,3,3,-79.9561377219759,40.4431923328703
212990991,19204832,10,2019-10-08T07:30:00,"900 Block Brushton Ave Pittsburgh, PA 15221",N,Homewood North,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1302,9,2,-79.8880748562767,40.4555579075761
213007645,19204903,6,2019-10-08T10:00:00,"5200 Block Butler St Pittsburgh, PA 15201",N,Upper Lawrenceville,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,1011,7,2,-79.9542278574022,40.4804110459389
213011027,19204929,27,2019-10-08T10:58:00,"5200 Block Baum Blvd Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,804,7,2,-79.9415610251821,40.4555928351962
214206238,19218784,10,2019-10-26T16:42:00,"1600 Block Canton Ave Pittsburgh, PA 15216",Y,Beechview,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1916,4,5,-80.0301330717878,40.4103699258688
214207413,19203217,0,2019-10-06T00:01:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Squirrel Hill North,4,99,6310.1 Selling Liquor to Minors / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,1402,6,6,-79.9960409452176,40.4350395659104
214207529,19203325,0,2019-10-06T03:00:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,4,99,5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,405,6,6,-79.9960409452176,40.4350395659104
214208985,19218862,10,2019-10-26T23:41:00,"1300 Block Gifford St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HARRASSMENT,2709(a) Harassment. / 5506 Loitering and Prowling at Night,2704,1,1,-80.029171647517,40.4659060077966
214209663,19218837,3,2019-10-26T23:30:00,"60 Block Auburn St Pittsburgh, PA 15206",N,Larimer,5,ROBBERY,3701 Robbery. / 3304 Criminal Mischief.,1208,9,2,-79.9177239742447,40.4647621988949
214210901,19218955,14,2019-10-27T02:32:00,"2000 Block Lowrie St Pittsburgh, PA 15212",Y,Troy Hill,1,CRIM MISCHIEF,3304 Criminal Mischief.,2406,1,1,-79.9799384353438,40.4676660216306
214212568,19218980,26,2019-10-27T03:18:00,"300 Block 3rd Ave Pittsburgh, PA 15222",Y,Central Business District,2,LOITERING PROWLING AT NIGHT,5506 Loitering and Prowling at Night,201,6,6,-80.0016135598372,40.4388661313797
214215498,19219076,23,2019-10-27T03:59:00,"1400 Block Rockland Ave Pittsburgh, PA 15216",Y,Beechview,6,PUBLIC DRUNKENESS,5505 Public Drunkenness,1916,4,5,-80.0203864894071,40.4129931632341
-3373001782,19219261,27,2019-10-27T13:33:00,"300 Block Alice St Pittsburgh, PA 15210",N,Knoxville,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,3001,3,5,-79.9935231972566,40.4097874382891
213240079,19206703,99,2019-10-10T15:30:00,"200 Block Freeland St Pittsburgh, PA 15210",Y,Beltzhoover,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1809,3,5,-80.0040539091804,40.4186688758297
213369729,19208962,99,2019-10-13T14:25:00,"300 Block Enright Ct Pittsburgh, PA 15206",Y,East Liberty,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1115,9,2,-79.9168404065684,40.4608871491557
213379276,19209378,5,2019-10-14T03:47:00,"5400 Block Northumberland St Pittsburgh, PA 15217",N,Squirrel Hill North,4,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1401,8,3,-79.9340748291933,40.4389146124265
213400816,19209511,5,2019-10-14T09:30:00,"5400 Block Fair Oaks St Pittsburgh, PA 15217",N,Squirrel Hill North,4,BURGLARY,3502 Burglary. / 3934 Theft from Vehicle,1401,8,3,-79.9335019796865,40.4442554807388
213430813,19209704,0,2019-10-10T21:34:00,"4400 Block Centre Ave Pittsburgh, PA 15213",N,North Oakland,4,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,403,8,3,-79.9535826174592,40.4511859232577
213934974,19215638,0,2019-10-19T17:20:00,"Swan Way & Stanton Ave Pittsburgh, PA 15206",N,Morningside,5,99,9999 9999 - (Misc. Incident): ,1014,7,2,-79.9311966176177,40.4734453519273
213938098,19215671,11,2019-10-14T14:00:00,"Woodland Rd Pittsburgh, PA 15232",N,Bluff,4,CREDIT CARDS,4106 Access Device Fraud,103,8,2,-79.9266793989263,40.451047978918
-3247001677,19216806,99,2019-10-24T08:47:00,"200 Block N Negley Ave Pittsburgh, PA 15206",N,Garfield,5,FOUND PROPERTY,9489 Found Property,1114,9,2,-79.9300754375356,40.4645436806627
214494361,19221888,0,2019-10-30T22:16:00,"900 Block Mina St Pittsburgh, PA 15212",N,Spring Hill-City View,1,99,9999 9999 - (Misc. Incident): ,2620,1,1,-79.9991875373345,40.4689574270871
214494986,19221877,3,2019-10-30T21:49:00,"5300 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,ROBBERY,3701 Robbery.,804,7,2,-79.9396202231869,40.4566123129673
214495618,19221898,14,2019-10-30T22:45:00,"900 Block Suismon St Pittsburgh, PA 15212",Y,East Allegheny,1,CRIM MISCHIEF,3304 Criminal Mischief.,2304,1,1,-79.9949116612229,40.4562693560297
214497664,19221917,10,2019-10-31T00:02:00,"2300 Block Colorado St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2704,,,0,0
212897999,19203731,23,2019-10-06T18:00:00,"Hatfield St & 48th St Pittsburgh, PA 15201",Y,Central Lawrenceville,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,901,7,2,-79.9588300209112,40.4766488833699
213371425,19209035,4,2019-10-13T16:47:00,"1400 Block Crucible St Pittsburgh, PA 15220",N,Crafton Heights,6,AGG-ASSAULT,2702 Aggravated Assault. / 3502 Burglary. / 2706 Terroristic Threats. / 2705 Recklessly Endangering Another Person. / 901 Criminal Attempt / 3742 Accidents Involving Death or Personal Injury / 3732.1 Aggravated Assault by Vehicle / 3742.1 Accident Involv. Death/Inj. While not Licensed,2814,2,5,-80.0497110358468,40.4485793521546
213725498,19212774,10,2019-10-18T15:59:00,"Market Sq Pittsburgh, PA 15222",Y,Central Business District,3,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 5503 Disorderly Conduct. / 9501 Bench Warrant,1609,6,6,-80.0028549265572,40.4409386637364
